TSS_ID	A549	Bj	H1hesc	Hepg2	Hsmm	K562	Nhek	Sknshra	Ag04450	Gm12878	Helas3	Hmec	Huvec	Mcf7	Nhlf
ENST00000399212	13.25295	27.8808	61.83615	13.7871	NaN	51.07055	28.23345	43.28965	24.318	72.08395	27.49835	NaN	45.8363	21.79705	NaN
ENST00000332131	13.0487	27.2068	59.11565	13.01195	NaN	50.25955	26.3708	42.04515	23.58005	71.2332	27.07285	NaN	44.19395	20.2512	NaN
ENST00000466328	26.72545	24.55105	22.0794	1.75561	NaN	3.541645	20.06775	20.477	30.3562	4.32357	20.75065	NaN	6.801365	14.18416	NaN
ENST00000439427	52.08505	62.79295	28.0425	4.42675	NaN	6.227395	80.00385	29.1543	87.67225	6.74574	34.3946	NaN	11.3878	36.12811	NaN
ENST00000399191	41.5241	52.56165	20.72145	3.31198	NaN	4.63392	72.7553	19.47915	76.16655	4.915575	28.3415	NaN	8.519195	29.33263	NaN
ENST00000422473	0	0	37.68305	0	NaN	0	0.1579201	0	0	0	0	NaN	0	0	NaN
ENST00000413862	0.0442981	1.32602	0.5327865	0.178823	NaN	0.13309595	1.0710645	0.8552705	0.999436	0	0.0306997	NaN	0.3626705	8.95304	NaN
ENST00000427491	0.0442981	1.32602	0.5327865	0.178823	NaN	0.13309595	1.097218	0.9525835	1.039006	0	0.0306997	NaN	0.3626705	9.00422	NaN
ENST00000453159	0.0442981	1.32602	0.5327865	0.178823	NaN	0.13309595	1.097218	0.9525835	1.039006	0	0.0306997	NaN	0.3626705	9.04028	NaN
ENST00000270190	0.2042415	1.346208	1.3330085	1.6026	NaN	0.545123	1.324632	1.2171205	2.006625	0.818726	0.77199	NaN	1.885	5.33547	NaN
ENST00000400485	12.88875	26.10585	9.746345	22.6335	NaN	24.0526	20.7811	19.81915	19.78255	11.8829	9.17589	NaN	11.31885	13.0114	NaN
ENST00000487909	17.5714	34.28555	11.15753	25.35765	NaN	25.6049	23.7833	22.3945	24.18455	13.2485	10.97975	NaN	15.5684	16.437	NaN
ENST00000314103	19.4703	6.363935	45.3651	9.07855	NaN	48.61555	9.97186	6.65026	5.982705	46.7394	57.75475	NaN	27.1517	25.17725	NaN
ENST00000429588	8.437395	0.5895505	0	0.079555	NaN	0.4150465	2.57453	0.903231	0.658004	0.0625205	0.1929975	NaN	57.14485	3.23482	NaN
ENST00000478313	0	0	0.33017	0	NaN	0	0	0	0	15.33905	0	NaN	0	0	NaN
ENST00000460783	2.933075	0	0	0.0265183	NaN	0	0	0	0.190901	0	2.62844	NaN	0.02451565	1.1934085	NaN
ENST00000427746	4.588955	1.78398	1.161215	1.586295	NaN	2.28712	0.686976	3.67737	2.81596	0.9706765	1.74578	NaN	0.8189725	1.4237515	NaN
ENST00000336648	4.51761	1.73501	1.104645	1.534955	NaN	2.138265	0.660822	3.580055	2.77639	0.9706765	1.71508	NaN	0.7950875	1.3981615	NaN
ENST00000430792	13.3388	11.142755	0.9853435	1.819855	NaN	6.371195	2.680145	20.4619	5.33086	2.01338	8.16143	NaN	2.96858	4.2003415	NaN
ENST00000399103	13.7128	12.32375	1.15813	2.706165	NaN	7.641815	2.94667	21.84485	5.95009	2.483085	8.88845	NaN	3.83785	4.621415	NaN
ENST00000492275	10.5782	31.097	16.91545	46.9957	NaN	31.85705	31.67335	29.6548	48.4324	44.41515	24.83275	NaN	53.22475	35.92935	NaN
ENST00000418766	11.12935	33.96025	19.9569	52.1979	NaN	34.7299	37.35395	31.1639	51.32995	51.60255	28.3771	NaN	68.15105	45.15905	NaN
ENST00000485402	11.08505	33.918	19.9569	52.14655	NaN	34.66655	37.2202	31.1639	51.2981	51.57565	28.3771	NaN	68.0788	45.13345	NaN
ENST00000438055	11.08505	33.8268	19.8468	52.09695	NaN	34.4352	37.1669	30.9761	51.1949	51.34295	28.3464	NaN	67.9833	44.9741	NaN
ENST00000355666	10.8365	33.21035	18.448	51.83855	NaN	31.9389	34.6043	30.2113	49.7174	48.28605	27.54035	NaN	66.1253	44.6356	NaN
ENST00000463216	10.187	32.63795	16.9926	50.67925	NaN	29.51565	33.08165	28.8489	47.6929	45.51135	27.19055	NaN	63.6363	43.48175	NaN
ENST00000540756	9.28141	31.2409	15.0394	49.709	NaN	27.25705	30.6466	27.8264	45.0809	39.2685	25.8724	NaN	60.70535	40.81575	NaN
ENST00000399010	9.68009	32.9778	15.01885	49.91775	NaN	27.28555	30.45855	29.5986	46.9293	39.0758	25.92835	NaN	60.8015	41.7835	NaN
ENST00000440629	2.052215	0.351413	0	5.296045	NaN	4.789475	0.106608	3.54853	1.039806	2.477935	2.28527	NaN	0.1684443	6.681355	NaN
ENST00000492514	6.837965	12.1118	17.8679	10.532565	NaN	8.04917	7.677035	8.42519	8.76069	17.3489	8.434795	NaN	11.7162	13.1289	NaN
ENST00000480452	8.53579	14.8128	26.2866	14.2569	NaN	15.0976	13.58205	12.7673	11.59215	27.3094	12.53605	NaN	19.3912	16.7347	NaN
ENST00000539844	8.651435	15.35335	27.3048	14.66755	NaN	15.9907	14.53155	13.24015	12.1237	28.58995	12.72355	NaN	20.91045	17.18605	NaN
ENST00000488368	8.767085	15.26885	27.43855	14.742	NaN	16.39305	14.6905	13.3375	12.26645	29.0909	12.8716	NaN	21.395	17.16045	NaN
ENST00000498789	9.158315	16.0543	28.56995	15.64295	NaN	17.55235	16.43755	14.005	12.73515	32.29895	13.14575	NaN	23.6797	17.9758	NaN
ENST00000476950	9.086965	16.01205	28.6265	15.5933	NaN	18.11925	16.62165	14.0502	12.5924	33.09595	13.27735	NaN	24.0166	17.74435	NaN
ENST00000399001	9.17556	15.9833	29.09965	15.6943	NaN	18.79415	17.204	14.3038	12.8865	34.34005	13.7916	NaN	25.8802	17.5896	NaN
ENST00000398998	0.649573	0.925635	4.40009	2.05171	NaN	2.797045	4.97148	2.32595	1.039006	1.48985	1.61203	NaN	2.468315	0.928217	NaN
ENST00000399000	0.2583391	1.508455	1.74749	1.84807	NaN	1.69774	0.8770265	1.160915	0.5951685	1.0201445	5.886325	NaN	1.718455	1.278345	NaN
ENST00000288304	0.302637	1.508455	1.437895	1.955845	NaN	1.485524	0.5833565	0.914204	0.4446375	0.8994545	5.09576	NaN	1.33127	1.242285	NaN
ENST00000398948	0	0	0.0267436	0	NaN	34.6514	0	0	0	0.2908485	0	NaN	0	0	NaN
ENST00000328264	0	0	0.0267436	0	NaN	34.47705	0	0	0	0.2908485	0	NaN	0	0	NaN
ENST00000478613	0	0	0	0	NaN	36.8651	0	0	0	0.3446675	0	NaN	0	0	NaN
ENST00000400477	0	0	0	0	NaN	51.4832	0	0	0	0.3759275	0	NaN	0	0	NaN
ENST00000398934	0	0	0	0	NaN	0	5.81737	0	0	1.646955	0.0306997	NaN	0	0	NaN
ENST00000429727	0	0	0	0	NaN	0	0	0	0	0	0	NaN	38.7722	0	NaN
ENST00000398907	0	0	0	0	NaN	0	0	0	0	0	0	NaN	64.0782	0	NaN
ENST00000481609	0	0	0	0	NaN	0	0	0	0	0	0	NaN	69.26	0	NaN
